Crop Name,Stage,Days,Min Temp,Max Temp,Humidity, Precipitation,Stage Rank
Chilli,Germination,7,20,30,70,7,1
Chilli,Vegetative Growth,60,18,30,70,8.4,2
Chilli,Flowering/Fruiting,50,20,30,70,4,3
Chilli,Maturity/Harvest,15,18,30,60,3.4,4
Onion,Germination,10,15,25,70,2,1
Onion,Vegetative Growth,100,15,25,60,2,2
Onion,Bulb Formation,30,10,18,50,3.4,3
Onion,Maturity/Harvest,15,20,30,40,0.7,4
Potato,Sprouting (Emergence),30,5,15,70,3.4,1
Potato,Vegetative Growth,30,15,25,70,10,2
Potato,Tuber Formation,30,10,20,70,5,3
Potato,Maturity/Harvest,15,5,20,60,1.4,4
Rice,Germination,5,20,35,90,10,1
Rice,Vegetative Growth,30,25,35,85,26.7,2
Rice,Flowering,20,25,35,80,10,3
Rice,Maturity/Harvest,30,20,30,70,3.4,4
Tomato,Germination,7,20,30,80,4.3,1
Tomato,Vegetative Growth,30,15,25,70,10,2
Tomato,Flowering/Fruiting,40,15,25,70,5,3
Tomato,Maturity/Harvest,20,15,30,70,1,4
Wheat,Germination,7,5,20,70,1.4,1
Wheat,Vegetative Growth,60,10,20,60,3.4,2
Wheat,Flowering/Fruiting,25,15,25,50,1.2,3
Wheat,Maturity/Harvest,15,15,30,50,0.7,4
