Day,Growth Stage,Min Temperature (°C),Max Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Seedling,22.0,30.0,60.0,1012.0,5.0
2,Seedling,22.1,30.1,61.0,1011.5,4.0
3,Seedling,22.2,30.2,62.0,1011.0,3.0
4,Seedling,22.3,30.3,63.0,1010.5,4.0
5,Seedling,22.4,30.4,64.0,1010.0,2.0
6,Seedling,22.5,30.5,65.0,1009.5,3.0
7,Seedling,22.6,30.6,66.0,1009.0,4.0
8,Seedling,22.7,30.7,67.0,1008.5,5.0
9,Seedling,22.8,30.8,68.0,1008.0,3.0
10,Seedling,22.9,30.9,69.0,1007.5,2.0
11,Vegetative,23.0,31.0,60.0,1007.0,4.0
12,Vegetative,23.1,31.1,61.0,1006.5,3.0
13,Vegetative,23.2,31.2,62.0,1006.0,4.0
14,Vegetative,23.3,31.3,63.0,1005.5,2.0
15,Vegetative,23.4,31.4,64.0,1005.0,3.0
16,Vegetative,23.5,31.5,65.0,1004.5,4.0
17,Vegetative,23.6,31.6,66.0,1004.0,5.0
18,Vegetative,23.7,31.7,67.0,1003.5,3.0
19,Vegetative,23.8,31.8,68.0,1003.0,2.0
20,Vegetative,23.9,31.9,69.0,1002.5,4.0
21,Vegetative,24.0,32.0,60.0,1002.0,5.0
22,Vegetative,24.1,32.1,61.0,1001.5,4.0
23,Vegetative,24.2,32.2,62.0,1001.0,3.0
24,Vegetative,24.3,32.3,63.0,1000.5,2.0
25,Vegetative,24.4,32.4,64.0,1000.0,4.0
26,Vegetative,24.5,32.5,65.0,999.5,5.0
27,Vegetative,24.6,32.6,66.0,999.0,4.0
28,Vegetative,24.7,32.7,67.0,998.5,3.0
29,Vegetative,24.8,32.8,68.0,998.0,2.0
30,Vegetative,24.9,32.9,69.0,997.5,4.0
31,Flowering,25.0,33.0,60.0,997.0,5.0
32,Flowering,25.1,33.1,61.0,996.5,4.0
33,Flowering,25.2,33.2,62.0,996.0,3.0
34,Flowering,25.3,33.3,63.0,995.5,2.0
35,Flowering,25.4,33.4,64.0,995.0,4.0
36,Flowering,25.5,33.5,65.0,994.5,5.0
37,Flowering,25.6,33.6,66.0,994.0,4.0
38,Flowering,25.7,33.7,67.0,993.5,3.0
39,Flowering,25.8,33.8,68.0,993.0,2.0
40,Flowering,25.9,33.9,69.0,992.5,4.0
41,Flowering,26.0,34.0,60.0,992.0,5.0
42,Flowering,26.1,34.1,61.0,991.5,4.0
43,Flowering,26.2,34.2,62.0,991.0,3.0
44,Flowering,26.3,34.3,63.0,990.5,2.0
45,Flowering,26.4,34.4,64.0,990.0,4.0
46,Flowering,26.5,34.5,65.0,989.5,5.0
47,Fruiting,26.6,34.6,66.0,989.0,4.0
48,Fruiting,26.7,34.7,67.0,988.5,3.0
49,Fruiting,26.8,34.8,68.0,988.0,2.0
50,Fruiting,26.9,34.9,69.0,987.5,4.0
51,Fruiting,27.0,35.0,60.0,987.0,5.0
52,Fruiting,27.1,35.1,61.0,986.5,4.0
53,Fruiting,27.2,35.2,62.0,986.0,3.0
54,Fruiting,27.3,35.3,63.0,985.5,2.0
55,Fruiting,27.4,35.4,64.0,985.0,4.0
56,Fruiting,27.5,35.5,65.0,984.5,5.0
57,Fruiting,27.6,35.6,66.0,984.0,4.0
58,Fruiting,27.7,35.7,67.0,983.5,3.0
59,Fruiting,27.8,35.8,68.0,983.0,2.0
60,Fruiting,27.9,35.9,69.0,982.5,4.0
61,Fruiting,28.0,36.0,60.0,982.0,5.0
62,Fruiting,28.1,36.1,61.0,981.5,4.0
63,Fruiting,28.2,36.2,62.0,981.0,3.0
64,Fruiting,28.3,36.3,63.0,980.5,2.0
65,Fruiting,28.4,36.4,64.0,980.0,4.0
66,Fruiting,28.5,36.5,65.0,979.5,5.0
67,Mature,28.6,36.6,66.0,979.0,4.0
68,Mature,28.7,36.7,67.0,978.5,3.0
69,Mature,28.8,36.8,68.0,978.0,2.0
70,Mature,28.9,36.9,69.0,977.5,4.0
71,Mature,29.0,37.0,60.0,977.0,5.0
72,Mature,29.1,37.1,61.0,976.5,4.0
73,Mature,29.2,37.2,62.0,976.0,3.0
74,Mature,29.3,37.3,63.0,975.5,2.0
75,Mature,29.4,37.4,64.0,975.0,4.0
76,Mature,29.5,37.5,65.0,974.5,5.0
77,Mature,29.6,37.6,66.0,974.0,4.0
78,Mature,29.7,37.7,67.0,973.5,3.0
79,Mature,29.8,37.8,68.0,973.0,2.0
80,Mature,29.9,37.9,69.0,972.5,4.0
81,Harvest,30.0,38.0,60.0,972.0,5.0
82,Harvest,30.1,38.1,61.0,971.5,4.0
83,Harvest,30.2,38.2,62.0,971.0,3.0
84,Harvest,30.3,38.3,63.0,970.5,2.0
85,Harvest,30.4,38.4,64.0,970.0,4.0
86,Harvest,30.5,38.5,65.0,969.5,5.0
87,Harvest,30.6,38.6,66.0,969.0,4.0
88,Harvest,30.7,38.7,67.0,968.5,3.0
89,Harvest,30.8,38.8,68.0,968.0,2.0
90,Harvest,30.9,38.9,69.0,967.5,4.0
